CID,Checker,Category,Type,Impact,Severity,CVSS score,Event Description,Vulnerable line number,Defect remediation guidance,CWE,OWASP,FilePathname
41905,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",546,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41906,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",494,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41907,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",983,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41908,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",253,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41909,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",314,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
41910,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",456,,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
46038,HARDCODED_CREDENTIALS,Medium impact security,Use of hard-coded password,Medium,Unspecified,7.67,"""java.sql.DriverManager.getConnection(java.lang.String, java.lang.String, java.lang.String)"" uses the constant string as a password.",126,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,259,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/DatabaseUtilities.java
110674,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",63,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge5/challenge6/Assignment5.java
110676,DEADCODE,Control flow issues,Logically dead code,Medium,Unspecified,0.0,"Execution cannot reach this statement: ""return failed().feedback(""i..."".",59,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,561,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge1/Assignment1.java
110677,FORWARD_NULL,Null pointer dereferences,Explicit null dereferenced,Medium,Unspecified,7.39,"Calling a method on null object ""nodes"".",76,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,476,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/client-side-filtering/src/main/java/org/owasp/webgoat/plugin/Salaries.java
110679,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",63,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java
110680,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""preparedStatement"" going out of scope leaks the resource it refers to.",62,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java
110683,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",82,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/CreateDB.java
110685,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",100,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java
110686,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",55,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge5/challenge6/Assignment5.java
110687,NULL_RETURNS,Null pointer dereferences,Dereference null return value,Medium,Unspecified,7.39,"Calling a method on null object ""errors.getFieldError(""matchingPassword"")"".",44,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,476,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/test/java/org/owasp/webgoat/users/UserValidatorTest.java
110689,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""preparedStatement"" going out of scope leaks the resource it refers to.",63,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java
110690,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",85,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java
110691,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",64,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java
110692,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",92,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java
110693,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""preparedStatement"" going out of scope leaks the resource it refers to.",41,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/mitigation/SqlInjectionLesson12a.java
110695,NULL_RETURNS,Null pointer dereferences,Dereference null return value,Medium,Unspecified,7.39,"Calling a method on null object ""errors.getFieldError(""username"")"".",58,Passwords should be stored in a Properties file in a location that is inaccessible to unauthorized users.,476,,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/test/java/org/owasp/webgoat/users/UserValidatorTest.java
159131,SQLI,High impact security,SQL injection,High,Unspecified,9.58,"Insecure concatenation of a SQL statement. The value ""username_login"" is tainted. Passing the tainted command to the SQL API ""java.sql.Connection.prepareStatement(java.lang.String)"" may allow an attacker to inject SQL.",49,"Perform the following to guard against SQL string injection attacks with JDBC prepared statements.
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"username_login"""")"".
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge5/challenge6/Assignment5.java
159134,PATH_MANIPULATION,High impact security,"Filesystem path, filename, or URI manipulation",High,Unspecified,9.89,"Constructing a path or URI using the tainted value ""element"". This may allow an attacker to access, modify, or test the existence of critical or sensitive files.",55,"Path manipulation vulnerabilities can be addressed by proper input validation. Blacklisting characters that allow unsafe path traversal can improve the safety of the input, but the recommended approach is to whitelist the set of expected characters. This should exclude absolute paths and upward directory traversal.",22,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge7/MD5.java
159135,CSRF,High impact security,Cross-site request forgery,High,Major,9.89,"""org.owasp.webgoat.plugin.challenge6.Assignment6.login"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",80,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java
159136,SQLI,High impact security,SQL injection,High,Unspecified,9.58,"Insecure concatenation of a SQL statement. The value ""password_login"" is tainted. Passing the tainted command to the SQL API ""java.sql.Connection.prepareStatement(java.lang.String)"" may allow an attacker to inject SQL.",49,"Perform one of the following to guard against SQL injection attacks.
* Parameterize the SQL statement using ""?"" positional characters. Bind the tainted values to the ""?"" positional parameters using one of the ""PreparedStatement.set*"" methods.
* Validate user-supplied values against predefined constant values. Concatenate these constant values into the SQL statement.
* Cast tainted values to safe types such as integers. Concatenate these type safe values into the statement.
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge5/challenge6/Assignment5.java
159138,UNSAFE_REFLECTION,Low impact security,Unsafe reflection,Low,Unspecified,7.39,"A tainted value ""context.getDatabaseDriver()"" is passed to a reflection API. This may allow an attacker to bypass security checks, obtain unauthorized data, or execute arbitrary code.",107,"Validate tainted data against a limited set of static, trusted reflection classes, methods, or fields. Reflect on one of these known values.",470,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/session/DatabaseUtilities.java
159140,PATH_MANIPULATION,High impact security,"Filesystem path, filename, or URI manipulation",High,Unspecified,9.89,"Constructing a path or URI using the tainted value ""webGoatHomeDirectory"". This may allow an attacker to access, modify, or test the existence of critical or sensitive files.",65,"Path manipulation vulnerabilities can be addressed by proper input validation. Blacklisting characters that allow unsafe path traversal can improve the safety of the input, but the recommended approach is to whitelist the set of expected characters. This should exclude absolute paths and upward directory traversal.",22,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/BlindSendFileAssignment.java
159141,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.challenge5.challenge6.Assignment5.login"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",38,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge5/challenge6/Assignment5.java
159145,PATH_MANIPULATION,High impact security,"Filesystem path, filename, or URI manipulation",High,Unspecified,9.89,"Constructing a path or URI using the tainted value ""webGoatHomeDirectory"". This may allow an attacker to access, modify, or test the existence of critical or sensitive files.",53,"Path manipulation vulnerabilities can be addressed by proper input validation. Blacklisting characters that allow unsafe path traversal can improve the safety of the input, but the recommended approach is to whitelist the set of expected characters. This should exclude absolute paths and upward directory traversal.",22,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/client-side-filtering/src/main/java/org/owasp/webgoat/plugin/Salaries.java
159148,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.Users.getUsers"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",26,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/missing-function-ac/src/main/java/org/owasp/webgoat/plugin/Users.java
159149,UNSAFE_DESERIALIZATION,High impact security,Unsafe deserialization,High,Unspecified,6.3,"A tainted value ""payload"" is deserialized. This may allow an attacker to bypass security checks or execute arbitrary code.",86,"If possible, use pure data formats such as JSON or XML to serialize and deserialize untrusted data.  Otherwise, if you must use native serialization methods, check the integrity of the data (for example with HMAC) before deserializing it.",502,A8-Insecure Deserialization,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/vulnerable-components/src/main/java/org/owasp/webgoat/plugin/VulnerableComponentsLesson.java
159158,XML_EXTERNAL_ENTITY,Medium impact security,Unrestricted document type definitions,Medium,Unspecified,0.0,"Passing the tainted value ""new java.io.StringReader(xml)"" to a weakly configured XML parser. An attacker-controlled DTD may include external entity URLs, and the resolution of external entities may expose sensitive data or result in unwanted server requests. Processing an attacker-controlled DTD may also result in an overwhelming number of entity expansions, causing denial of service.",70,"The recommended and strongest prevention against both external entity and entity expansion attacks is to disable DTD processing in the parser. A ""javax.xml.stream.XMLInputFactory"" instance ""xiFactory"" can be configured to disable DTD processing by calling ""xiFactory.setProperty(XMLInputFactory.SUPPORT_DTD, false)"".",827,A8-Insecure Deserialization,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java
159159,SQLI,High impact security,SQL injection,High,Unspecified,9.58,"Insecure concatenation of a SQL statement. The value ""accountName"" is tainted.",64,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"accountName"""")"".
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/introduction/SqlInjectionLesson5a.java
159161,INSECURE_RANDOM,Insecure random category,Cryptographically weak PRNG,Low,Unspecified,0.0,"The random value ""random.nextInt(a.length)"" was generated using a cryptographically insecure pseudo-random number generator.",25,"Use a cryptographically secure PRNG implementation such as ""java.security.SecureRandom"".",330,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge7/PasswordResetLink.java
159162,INSECURE_RANDOM,Insecure random category,Cryptographically weak PRNG,Low,Unspecified,0.0,"The random value ""random.nextInt(65536)"" was generated using a cryptographically insecure pseudo-random number generator.",48,"Use a cryptographically secure PRNG implementation such as ""java.security.SecureRandom"".",330,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/csrf/src/main/java/org/owasp/webgoat/plugin/CSRFGetFlag.java
159163,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.mitigation.SqlInjectionLesson12a.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",34,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/mitigation/SqlInjectionLesson12a.java
159165,PATH_MANIPULATION,High impact security,"Filesystem path, filename, or URI manipulation",High,Unspecified,9.89,"Constructing a path or URI using the tainted value ""webGoatHomeDirectory"". This may allow an attacker to access, modify, or test the existence of critical or sensitive files.",42,"Path manipulation vulnerabilities can be addressed by proper input validation. Blacklisting characters that allow unsafe path traversal can improve the safety of the input, but the recommended approach is to whitelist the set of expected characters. This should exclude absolute paths and upward directory traversal.",22,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/client-side-filtering/src/main/java/org/owasp/webgoat/plugin/Salaries.java
159167,SENSITIVE_DATA_LEAK,Medium impact security,Cleartext sensitive data in a database,Medium,Unspecified,6.0,"Leaking a password ""password_login"". Passing it to ""java.sql.Connection.prepareStatement"" either stores it to a database or suggests that it is stored in a database.",49,"Do one of the following before storing it:
* Encrypt the data.
* Use a cryptographic hash on the data.
",313,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge5/challenge6/Assignment5.java
159252,RESOURCE_LEAK,Exceptional resource leaks,Resource leak on an exceptional path,Low,Unspecified,5.35,"Variable ""is"" going out of scope leaks the resource it refers to.",169,"Do one of the following before storing it:
* Encrypt the data.
* Use a cryptographic hash on the data.
",404,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge7/MD5.java
159255,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",54,"Do one of the following before storing it:
* Encrypt the data.
* Use a cryptographic hash on the data.
",404,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/missing-function-ac/src/main/java/org/owasp/webgoat/plugin/Users.java
159256,RESOURCE_LEAK,Exceptional resource leaks,Resource leak on an exceptional path,Low,Unspecified,5.35,"Variable ""is"" going out of scope leaks the resource it refers to.",184,"Do one of the following before storing it:
* Encrypt the data.
* Use a cryptographic hash on the data.
",404,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge7/MD5.java
160721,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.InsecureDeserializationTask.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",56,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/insecure-deserialization/src/main/java/org/owasp/webgoat/plugin/InsecureDeserializationTask.java
160722,HARDCODED_CREDENTIALS,Medium impact security,Use of hard-coded cryptographic key,Medium,Unspecified,7.67,"""io.jsonwebtoken.JwtParser.setSigningKey(java.lang.String)"" uses the constant string as a cryptographic key.",71,Cryptographic keys should be stored in a Properties file in a location that is inaccessible to unauthorized users.,321,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTRefreshEndpoint.java
160723,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""preparedStatement"" going out of scope leaks the resource it refers to.",53,Cryptographic keys should be stored in a Properties file in a location that is inaccessible to unauthorized users.,404,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/mitigation/Servers.java
160724,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.JWTSecretKeyEndpoint.login"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",33,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTSecretKeyEndpoint.java
160726,HARDCODED_CREDENTIALS,Medium impact security,Use of hard-coded cryptographic key,Medium,Unspecified,7.67,"""io.jsonwebtoken.JwtParser.setSigningKey(java.lang.String)"" uses the constant string as a cryptographic key.",91,Cryptographic keys should be stored in a Properties file in a location that is inaccessible to unauthorized users.,321,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTRefreshEndpoint.java
160727,FORWARD_NULL,Null pointer dereferences,Explicit null dereferenced,Medium,Unspecified,7.39,"Calling a method on null object ""statement"".",106,Cryptographic keys should be stored in a Properties file in a location that is inaccessible to unauthorized users.,476,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java
160728,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.JWTRefreshEndpoint.checkout"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",69,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTRefreshEndpoint.java
160729,HARDCODED_CREDENTIALS,Medium impact security,Use of hard-coded cryptographic key,Medium,Unspecified,7.67,"""io.jsonwebtoken.JwtParser.setSigningKey(java.lang.String)"" uses the constant string as a cryptographic key.",142,Cryptographic keys should be stored in a Properties file in a location that is inaccessible to unauthorized users.,321,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTVotesEndpoint.java
160731,SQL_NOT_CONSTANT,Audit impact security,Non-constant SQL,Audit,Unspecified,9.58,"Insecure concatenation of a SQL statement. The value ""org.owasp.webgoat.plugin.advanced.SqlInjectionChallenge.USERS_TABLE_NAME"" is not a constant literal.",108,"Perform the following to guard against SQL table name injection attacks with JDBC.
* Define constant string values for the table or column names.
* Validate user-supplied parameters against these constant values.
* If valid, concatenate these constant values to the SQL statement.
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java
160732,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.LandingAssignment.click"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",29,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/webwolf-introduction/src/main/java/org/owasp/webgoat/plugin/LandingAssignment.java
