CID,Checker,Category,Type,Impact,Severity,CVSS score,Vulnerable line number,Defect remediation guidance,CWE,OWASP
10200,SQLI,Audit impact security,SQL injection,Audit,Unspecified,,21,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"username"""")"".
",89,A1
10201,RESOURCE_LEAK,Exceptional resource leaks,Resource leak on an exceptional path,Low,Unspecified,,84,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"username"""")"".
",404,A1
10202,SQL_NOT_CONSTANT,Audit impact security,Non-constant SQL,Audit,Unspecified,,41,"Perform one of the following to guard against SQL injection attack with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"". Parameterize the SQL statement using ""?"" positional characters. Bind the tainted values to the ""?"" positional parameters using one of the ""PreparedStatement.set*"" methods.
* Validate user-supplied values against predefined constant values. Concatenate these constant values into the SQL statement.
* Cast tainted values to safe types such as integers. Concatenate these type safe values into the statement.
",89,A1
10203,PATH_MANIPULATION,High impact security,"Filesystem path, filename, or URI manipulation",High,Unspecified,,24,"Path manipulation vulnerabilities can be addressed by proper input validation. Blacklisting characters that allow unsafe path traversal can improve the safety of the input, but the recommended approach is to whitelist the set of expected characters. This should exclude absolute paths and upward directory traversal.",22,A5
10204,UNSAFE_DESERIALIZATION,High impact security,Unsafe deserialization,High,Unspecified,,143,"If possible, use pure data formats such as JSON or XML to serialize and deserialize untrusted data.  Otherwise, if you must use native serialization methods, check the integrity of the data (for example with HMAC) before deserializing it.",502,A8
10205,SENSITIVE_DATA_LEAK,Medium impact security,Cleartext sensitive data in a database,Medium,Unspecified,,35,"Do one of the following before storing it:
- Encrypt the data.
- Use a cryptographic hash on the data.",313,A8
10206,SQLI,Audit impact security,SQL injection,Audit,Unspecified,,21,"Perform one of the following to guard against SQL injection attack with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"". Parameterize the SQL statement using ""?"" positional characters. Bind the tainted values to the ""?"" positional parameters using one of the ""PreparedStatement.set*"" methods.
* Validate user-supplied values against predefined constant values. Concatenate these constant values into the SQL statement.
* Cast tainted values to safe types such as integers. Concatenate these type safe values into the statement.
",89,A1
10207,SENSITIVE_DATA_LEAK,Medium impact security,Cleartext sensitive data in a database,Medium,Unspecified,,35,"Do one of the following before storing it:
- Encrypt the data.
- Use a cryptographic hash on the data.",313,A1
10208,CSRF,Medium impact security,Cross-site request forgery,Medium,Unspecified,,112,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1
10209,XSS,High impact security,Cross-site scripting,High,Unspecified,,187,"Perform the following escaping in the following order to guard against cross-site scripting attacks with Java.

For example: ""Escape.html(buf)""


* Use the ""Escape.html"" function from the Coverity Sanitizers Library. This escapes the output for HTML.

",79,A7
10210,RESOURCE_LEAK,Exceptional resource leaks,Resource leak on an exceptional path,Low,Unspecified,,163,"Perform the following escaping in the following order to guard against cross-site scripting attacks with Java.

For example: ""Escape.html(buf)""


* Use the ""Escape.html"" function from the Coverity Sanitizers Library. This escapes the output for HTML.

",404,A7
10211,NULL_RETURNS,Null pointer dereferences,Dereference null return value,Medium,Unspecified,,14,"Perform the following escaping in the following order to guard against cross-site scripting attacks with Java.

For example: ""Escape.html(buf)""


* Use the ""Escape.html"" function from the Coverity Sanitizers Library. This escapes the output for HTML.

",476,A7
10212,CSRF,High impact security,Cross-site request forgery,High,Minor,,65,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A7
10213,SQLI,Audit impact security,SQL injection,Audit,Unspecified,,21,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"username"""")"".
",89,A1
10214,LOG_INJECTION,Audit impact security,Log injection,Audit,Moderate,,88,Log injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,117,A1
10215,RESOURCE_LEAK,Exceptional resource leaks,Resource leak on an exceptional path,Low,Unspecified,,170,Log injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,404,A1
10614,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,202,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A1
10755,INSECURE_RANDOM,Low impact security,Cryptographically weak PRNG,Low,Unspecified,,1476,"Use a cryptographically secure PRNG implementation such as ""crypto.RandomBytes()"" to generate random values for security-sensitive contexts.",330,A1
11010,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,326,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11172,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,2021,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
11614,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,202,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11697,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,2021,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11928,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,326,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
11959,XSS,High impact security,Cross-site scripting,High,Minor,,114,"Perform the following escaping in the following order to guard against cross-site scripting attacks with EL.

For example: ""fn:escapeXml(account.name)""


* Use the EL function ""fn:escapeXml"". This escapes the output for HTML.

",79,A7
11960,XSS,High impact security,Cross-site scripting,High,Unspecified,,107,"Perform the following escaping in the following order to guard against cross-site scripting attacks with EL.

For example: ""fn:escapeXml(transferbean.description)""


* Use the EL function ""fn:escapeXml"". This escapes the output for HTML.

",79,A7
11961,XSS,High impact security,Cross-site scripting,High,Unspecified,,112,"Perform the following escaping in the following order to guard against cross-site scripting attacks with EL.

For example: ""fn:escapeXml(account.username)""


* Use the EL function ""fn:escapeXml"". This escapes the output for HTML.

",79,A7
11962,XSS,High impact security,Cross-site scripting,High,Unspecified,,116,"Perform the following escaping in the following order to guard against cross-site scripting attacks with EL.

For example: ""fn:escapeXml(account.surname)""


* Use the EL function ""fn:escapeXml"". This escapes the output for HTML.

",79,A7
11963,CONSTANT_EXPRESSION_RESULT,Incorrect expression,Misuse of typeof,Medium,Unspecified,,620,"Did you intend to compare to """"string""""?",569,A7
11964,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,687,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11965,NULL_RETURNS,Null pointer dereferences,Dereference null return value,Medium,Unspecified,,34,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",476,A7
11966,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,5853,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
11967,MISSING_BREAK,Control flow issues,Missing break in switch,Medium,Unspecified,,1198,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,484,A7
11968,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,190,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
11969,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,478,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
11970,LOCALSTORAGE_MANIPULATION,Audit impact security,localStorage manipulation,Audit,Unspecified,,219,"Consider whether it is necessary to allow the user any control over this key.  If so, ensure that the value cannot interfere with other keys that your application uses for example, by ensuring that the user-specified key has a specific prefix or is one of a fixed set of constant strings (whitelisting).",99,A7
11971,DOM_XSS,High impact security,DOM-based cross-site scripting,High,Unspecified,,90,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11972,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,87,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11973,INSECURE_RANDOM,Low impact security,Cryptographically weak PRNG,Low,Unspecified,,46,"Use a cryptographically secure PRNG implementation such as ""crypto.RandomBytes()"" to generate random values for security-sensitive contexts.",330,A7
11974,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,833,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11975,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,890,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11976,FORWARD_NULL,Null pointer dereferences,Bad use of null-like value,Medium,Unspecified,,471,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",476,A7
11977,FORWARD_NULL,Null pointer dereferences,Bad use of null-like value,Medium,Unspecified,,577,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",476,A7
11978,CONSTANT_EXPRESSION_RESULT,Incorrect expression,Misuse of typeof,Medium,Unspecified,,517,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",569,A7
11979,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,82,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11980,LOCALSTORAGE_WRITE,Audit impact security,localStorage write,Audit,Unspecified,,428,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",922,A7
11981,URL_MANIPULATION,Audit impact security,URL manipulation,Audit,Unspecified,,422,"URL manipulation vulnerabilities can be addressed by proper input validation. Whitelisting the allowed scheme and authority, and blacklisting characters that allow unsafe path traversal in the path and query parts of the URL can improve security.",99,A7
11982,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,836,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
11983,NULL_RETURNS,Null pointer dereferences,Bad use of null-like value,Medium,Unspecified,,737,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,476,A7
11984,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,653,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11985,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,17,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
11986,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,833,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
11987,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,63,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
11988,NO_EFFECT,Incorrect expression,Expression with no effect,Medium,Unspecified,,290,Perhaps this code is incomplete or mistyped in some way.,398,A7
11989,DEADCODE,Control flow issues,Logically dead code,Medium,Unspecified,,692,Perhaps this code is incomplete or mistyped in some way.,561,A7
11990,NO_EFFECT,Incorrect expression,Expression with no effect,Medium,Unspecified,,66,Perhaps this code is incomplete or mistyped in some way.,398,A7
11991,NULL_RETURNS,Null pointer dereferences,Bad use of null-like value,Medium,Unspecified,,1647,Perhaps this code is incomplete or mistyped in some way.,476,A7
11992,LOCALSTORAGE_WRITE,Audit impact security,localStorage write,Audit,Unspecified,,674,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",922,A7
11993,COPY_PASTE_ERROR,Incorrect expression,Copy-paste error,Medium,Unspecified,,1654,"Should it say ""src"" instead?",398,A7
11994,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,900,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11995,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,110,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
11996,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,950,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
11997,SCRIPT_CODE_INJECTION,Audit impact security,Script code injection,Audit,Unspecified,,82,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,95,A7
11998,CONSTANT_EXPRESSION_RESULT,Incorrect expression,Misuse of typeof,Medium,Unspecified,,517,User-controllable dynamic data should not be used as part of scripts that are executed on the server.,569,A7
11999,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,436,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
12000,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,2236,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12001,REGEX_INJECTION,Audit impact security,Regular expression injection,Audit,Unspecified,,778,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,94,A7
12002,CONSTANT_EXPRESSION_RESULT,Incorrect expression,Misuse of typeof,Medium,Unspecified,,952,Regular expression injection vulnerabilities can be addressed by validating that the user-controllable input conforms to expectations.,569,A7
12003,LOCALSTORAGE_WRITE,Audit impact security,localStorage write,Audit,Unspecified,,109,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",922,A7
12004,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,148,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12005,DOM_XSS,Audit impact security,DOM-based cross-site scripting,Audit,Unspecified,,566,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",79,A7
12006,DEADCODE,Control flow issues,Logically dead code,Medium,Unspecified,,2786,"The untrusted data reaches a sink that can either lead to HTML injection, JavaScript code execution, or the manipulation of a URL starting with the ""javascript:"" or ""data:"" schemes. Any of these can lead to a DOM XSS vulnerability.
* HTML injection: Either escape properly the untrusted data or use a safe API to insert this data to the DOM; direct HTML manipulation as text should be avoided.
* JavaScript code execution: Validate any untrusted data against a whitelist so it's not possible for an attacker to have its supplied code executing.
* URL manipulation: Make sure the scheme is whitelisted and doesn't allow for the injection of a URL like: ""data:text/html;,<img/src/onerror=alert(1)>"".
",561,A7
12007,LOCALSTORAGE_WRITE,Audit impact security,localStorage write,Audit,Unspecified,,128,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",922,A7
12008,DEADCODE,Control flow issues,Logically dead code,Medium,Unspecified,,465,"Audit the data entering""localStorage"" to make sure it isn't sensitive.  Store sensitive data on the server and manage with sessions.",561,A7
